Name of Road
100 Feet Road
10th Road
10th Road
"11th Road, Khar West "
12th Road
13th Road
"14th B Road, Khar(W)"
14th Road Khar
"14th Road, Bandra (W)"
15th road
16th Road Khar West
16th Road Khar West
17th Road (Santacruz)
1st Road(IPS) 
24th Road(St Theresa Road)
27th Road
28th Road
2nd Hasnabad Road
30th Road
3rd road (Y Shape)
5th Rd(Khar)
"7th road, Khar"
90 feet road
A N Tiwari Road
Aaram Society Road
Abbasaheb Shinde Marg
Agarwal Municipal hospital 
Agastya Corporate Park 
Amar Mahal 
AmarMahal Chembur 
Amartaru Road
Ambedkar Garden 
Andheri-Ghatkopar link rd
Anil Kumble Circle
Ankur Hospital 
Anthony Road
Azad Nagar 
"Azad Road,Verma Nagar Road Gundavli"
Baji Prabhu Deshpande Marg
Bhai Tambe Marg
Bhandup Station East 
Bhatiawadi Road
Bhatwadi 
Bima Nagar Road
CST Road 
Centrel Avenue
Chandivali 
Charatsingh Colony 
Chetana College Road
Chhatrapati Shivaji Maharaj Road Extn.
Chimat Pada Road
Chirag nagar 
Chirag nagar 
Church Road (Main)
Crompton Greaves
Cyril Rd Exten
Dattaram Waikar Marg
Dattatray Road
Dayaldas Main Road ( Part 1)
Dayaldas Main Road ( Part 2)
Dixit Road
Dnyan Sarita Thane
Dnyaneshwar Mandir Marg
Dr Ambedkar Road 
Dr K B Hedgewar Chowk 
Dr Peter Dias Road
Duncan Company 
ESIS Hospital 
East Avenue
Eastern Express Freeway 
Express Highway 
Extension
Fortis Hospital 
G R jolly marg 
G. B. Indulakar Marg
Gandhi market 
Gaonthan Road Marol
Garodia Ngar 
Glass Factory 
Gopal Bhavan 
Gopal Bhavan 
Goregaon Link Road
Govardhan Nagar
Guru Govind Singh Road ( Roof Top Society)
Guru Nanak Nagar 
Guru Nanak Nagar 
Gurugangeshwar Road
Gyan Sarita School 
Hebbal Flyover
Hema Park
Hingwala Lane 
J L Shirshekar Marg
Jagdusha Nagar 
Jain Derasar Road
Jari Mari Road
Jarimari 
Jeevan Vikas Kendra Marg
Jija mata bhosle marg junction 
Jiva Mahale Marg Side strip 
Jogeshwari Gumpha road
Jogeshwari Gunfa Road Side strip
John Baptista Road
Johnson and Johnson Company 
Juhu Road Link Road Junction
Kadam Pada
Kadamwadi Road
KajuPada
KajuPada pipeline road
Kalidas natyagruh
Kalina Kurla Road
Kamgar Nagr 
Kanoji Angre Marg
Keva Fragnans 
Khar Pipeline Road
Khernagar Road no. 01
Khernagar Road no. 02
Khernagar Road no. 03
Khernagar Road no. 04
Khernagar Road no. 06
Khernagar Road no. 07
Khernagar Road no. 08
Kisan Nagar junction 
Kondivita Road
Lavender Baug 
Laxmi Nagar 
Lelewadi Road
Lok Rounak Road Marol
M G Road 
M.G.Road side strip
MIDC A Cross Road 
MIDC B X Road
MIDC Road no 14
MIDC Road no 16
MIDC Road no 7
MIDC road no 23 (Ext. C x Road)
